rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count
196,JYP Entertainment,27400000,19883150017.0,Music,JYP Entertainment,1753,South Korea,KR,Music,124.0,4.0,64.0,307631000.0,76900.0,1200000.0,922900.0,14800000.0,200000.0,2008.0,Jan,25.0,11342356.0,638450.0,15.0,725.66,1.547,0.7299,macro_low,725.66,116.9,1.547,0.7299,61.4,307631000.0,2.08,82.1,Music,69.7,82.1,70.4,False,False,False,False,False,0
197,Ã½Ã½Ã½ Kids Roma Show,27400000,10336420490.0,People & Blogs,Ã½Ã½Ã½ Kids Roma Show,642,United States,US,Entertainment,418.0,58.0,50.0,175844000.0,44000.0,703400.0,527500.0,8400000.0,400000.0,2015.0,May,12.0,16100343.0,373700.0,8.0,377.24,1.701,1.4599,macro_low,377.24,80.2,1.701,1.4599,73.7,175844000.0,2.13,63.9,Entertainment,51.5,69.7,56.0,False,False,False,False,False,0
198,DanTDM,27400000,19417887510.0,Gaming,DanTDM,3664,United Kingdom,GB,Games,132.0,7.0,16.0,78668000.0,19700.0,314700.0,236000.0,3800000.0,500000.0,2012.0,Jul,14.0,5299642.0,167200.0,11.0,708.68,0.405,1.8248,macro_low,708.68,333.1,0.405,1.8248,46.4,78668000.0,2.13,82.9,Gaming,70.2,76.9,72.4,False,False,False,False,False,0
199,Nick Jr.,27300000,22440611155.0,Film & Animation,Nick Jr.,5438,United States,US,Entertainment,100.0,59.0,51.0,42546000.0,10600.0,170200.0,127600.0,2000000.0,200000.0,2012.0,Sep,27.0,4126629.0,90400.0,11.0,822.0,0.19,0.7326,macro_low,822.0,494.4,0.19,0.7326,27.9,42546000.0,2.12,85.1,Entertainment,68.6,75.6,67.3,False,False,False,False,False,0
200,Crazy XYZ,27300000,7705492350.0,Entertainment,Crazy XYZ,1259,India,IN,Tech,707.0,48.0,2.0,102235000.0,25600.0,408900.0,306700.0,4900000.0,100000.0,2017.0,Sep,10.0,6120328.0,217250.0,6.0,282.25,1.327,0.3663,macro_low,282.25,209.8,1.327,0.3663,45.7,102235000.0,2.13,69.4,Tech,48.4,64.3,37.0,False,False,False,False,False,0
201,ToyPuddingTV,27100000,15916882228.0,Entertainment,ToyPudding TV[Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯,2,,,People,4052296.0,,7692.0,14.0,0.0,0.06,0.04,0.67,,2017.0,Jun,7.0,7958441114.0,0.0,6.0,587.34,0.0,,macro_low,587.34,0.3,0.0,,,14.0,0.0,29.7,Lifestyle / People,,54.2,,False,True,False,True,False,2
202,Dushyant kukreja,27100000,17318452893.0,Entertainment,Dushyant kukreja,889,India,IN,Entertainment,159.0,49.0,52.0,429692000.0,107400.0,1700000.0,1300000.0,20600000.0,700000.0,2015.0,Sep,26.0,19480824.0,903700.0,8.0,639.06,2.481,2.583,macro_low,639.06,111.1,2.481,2.583,84.4,429692000.0,2.1,67.7,Entertainment,67.7,79.6,73.4,False,False,False,False,False,0
203,Gulshan Kalra,27100000,12732444881.0,Howto & Style,Gulshan Kalra,545,,,Howto,296.0,,5.0,502779000.0,125700.0,2000000.0,1500000.0,24100000.0,1300000.0,2018.0,Apr,9.0,23362284.0,1062850.0,5.0,469.83,3.949,4.797,macro_low,469.83,109.0,3.949,4.797,92.3,502779000.0,2.11,61.4,How-To & Style,60.3,74.6,65.0,False,False,False,False,False,0
204,Brent Rivera,27000000,6570935979.0,Comedy,Brent Rivera,554,United States,US,Entertainment,909.0,60.0,53.0,144453000.0,36100.0,577800.0,433400.0,6900000.0,300000.0,2009.0,Aug,1.0,11860895.0,306950.0,14.0,243.37,2.198,1.1111,macro_low,243.37,39.6,2.198,1.1111,73.9,144453000.0,2.12,71.8,Entertainment,48.2,61.2,49.5,False,False,False,False,False,0
205,Renato Garcia YT,26900000,7938616641.0,Entertainment,Renato Garcia YT,3956,Brazil,BR,Entertainment,664.0,11.0,54.0,82912000.0,20700.0,331600.0,248700.0,4000000.0,200000.0,2011.0,Sep,29.0,2006728.0,176150.0,12.0,295.12,1.044,0.7435,macro_low,295.12,329.7,1.044,0.7435,53.4,82912000.0,2.12,84.8,Entertainment,60.1,66.4,44.2,False,False,False,False,False,0
206,Beast Reacts,26700000,4388047013.0,People & Blogs,Beast Reacts,241,United States,US,Entertainment,1632.0,61.0,54.0,276187000.0,69000.0,1100000.0,828600.0,13300000.0,1200000.0,2016.0,Apr,24.0,18207664.0,584500.0,7.0,164.35,6.294,4.4944,macro_low,164.35,34.4,6.294,4.4944,95.3,276187000.0,2.12,57.0,Entertainment,43.0,56.8,47.0,False,False,False,False,False,0
207,enchufetv,26700000,10317306313.0,Comedy,enchufetv,975,Colombia,CO,Comedy,420.0,5.0,11.0,24363000.0,6100.0,97500.0,73100.0,1200000.0,,2011.0,Nov,13.0,10581853.0,51800.0,12.0,386.42,0.236,,macro_low,386.42,81.2,0.236,,,24363000.0,2.13,56.9,Comedy,,61.2,,False,False,False,False,False,0
208,Netflix,26700000,7173668905.0,Entertainment,Netflix,6471,United States,US,Entertainment,797.0,62.0,55.0,118226000.0,29600.0,472900.0,354700.0,5700000.0,200000.0,2012.0,Jul,17.0,1108587.0,251250.0,11.0,268.68,1.648,0.7491,macro_low,268.68,588.3,1.648,0.7491,63.4,118226000.0,2.13,85.7,Entertainment,64.8,67.8,40.3,False,False,False,False,False,0
209,Raffy Tulfo in Action,26500000,15065753455.0,News & Politics,Raffy Tulfo in Action,10022,Philippines,PH,News,219.0,3.0,5.0,163130000.0,40800.0,652500.0,489400.0,7800000.0,300000.0,2016.0,Apr,20.0,1503268.0,346650.0,7.0,568.52,1.083,1.1321,macro_low,568.52,1431.7,1.083,1.1321,60.4,163130000.0,2.12,80.7,News & Current Affairs,74.5,79.8,57.7,False,False,False,False,False,0
210,WORLDSTARHIPHOP,26500000,20358117330.0,Music,WORLDSTARHIPHOP,6873,United States,US,Music,117.0,63.0,65.0,89098000.0,22300.0,356400.0,267300.0,4300000.0,,2008.0,Nov,8.0,2962042.0,189350.0,15.0,768.23,0.438,,macro_low,768.23,458.2,0.438,,,89098000.0,2.13,77.8,Music,,78.9,,False,False,False,False,False,0
211,Goldmines Bollywood,26400000,8595760553.0,Film & Animation,Goldmines Bollywood,3622,India,IN,Film,588.0,50.0,15.0,99677000.0,24900.0,398700.0,299000.0,4800000.0,400000.0,2015.0,Jul,22.0,2373208.0,211800.0,8.0,325.6,1.16,1.5152,macro_low,325.6,452.8,1.16,1.5152,66.5,99677000.0,2.12,78.8,Film & Media,64.8,67.8,50.1,False,False,False,False,False,0
212,Alan Chikin Chow,26400000,27006526665.0,Comedy,Alan Chikin Chow,865,United States,US,Comedy,61.0,63.0,12.0,1046000000.0,261500.0,4200000.0,3100000.0,50200000.0,1300000.0,2020.0,Feb,3.0,31221418.0,2230750.0,3.0,1022.97,3.873,4.9242,macro_low,1022.97,288.3,3.873,4.9242,92.4,1046000000.0,2.13,65.9,Comedy,78.1,83.4,82.2,False,False,False,False,False,0
213,PANDA BOI,26400000,17211600007.0,Entertainment,PANDA BOI,967,Italy,IT,Entertainment,158.0,1.0,55.0,1225000000.0,306400.0,4900000.0,3700000.0,58800000.0,2000000.0,2020.0,Dec,5.0,17798966.0,2603200.0,3.0,651.95,7.117,7.5758,macro_low,651.95,322.3,7.117,7.5758,97.4,1225000000.0,2.13,66.7,Entertainment,76.3,80.7,75.5,False,False,False,False,False,0
214,BB Ki Vines,26300000,4749833967.0,Entertainment,BB Ki Vines,190,India,IN,Entertainment,1462.0,51.0,57.0,17264000.0,4300.0,69100.0,51800.0,828600.0,,2015.0,Jun,20.0,24999126.0,36700.0,8.0,180.6,0.363,,macro_low,180.6,23.8,0.363,,,17264000.0,2.13,42.1,Entertainment,,44.7,,False,False,False,False,False,0
215,D Billions,26200000,31977463002.0,,D Billions,775,United States,US,Entertainment,33.0,64.0,58.0,487076000.0,121800.0,1900000.0,1500000.0,23400000.0,200000.0,2019.0,Jul,27.0,41261243.0,1010900.0,4.0,1220.51,1.523,0.7634,macro_low,1220.51,193.8,1.523,0.7634,62.7,487076000.0,2.08,64.6,Entertainment,67.4,82.8,74.2,False,False,False,False,False,0
216,Junya.Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,26200000,16097531087.0,Entertainment,Junya.Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,5985,Japan,JP,Entertainment,184.0,2.0,56.0,721848000.0,180500.0,2900000.0,2200000.0,34600000.0,1100000.0,2020.0,Sep,14.0,2689646.0,1540250.0,3.0,614.41,4.484,4.1985,macro_low,614.41,1995.0,4.484,4.1985,93.2,721848000.0,2.13,73.2,Entertainment,83.1,84.0,65.6,False,False,False,False,False,0
217,Smosh,26100000,10435474336.0,Comedy,Smosh,1619,United States,US,Comedy,410.0,65.0,13.0,68156000.0,17000.0,272600.0,204500.0,3300000.0,400000.0,2005.0,Nov,19.0,6445630.0,144800.0,18.0,399.83,0.653,1.5326,macro_low,399.83,89.9,0.653,1.5326,53.6,68156000.0,2.12,79.0,Comedy,54.9,67.4,58.7,False,False,False,False,False,0
218,1MILLION Dance Studio,26100000,7886440199.0,Entertainment,1MILLION Dance Studio,0,Saudi Arabia,SA,Music,4057944.0,3695.0,5641.0,,0.0,0.0,0.0,0.0,,2019.0,Jul,13.0,,0.0,4.0,302.16,,,macro_low,302.16,0.0,,,,,,8.7,Music,,,,True,True,False,True,False,3
219,NichLmao,26000000,14101010609.0,People & Blogs,NichLmao,868,,,People,249.0,,6.0,606362000.0,151600.0,2400000.0,1800000.0,29100000.0,1100000.0,2018.0,Sep,25.0,16245404.0,1275800.0,5.0,542.35,4.3,4.2308,macro_low,542.35,173.6,4.3,4.2308,92.5,606362000.0,2.1,65.9,Lifestyle / People,68.5,77.2,68.8,False,False,False,False,False,0
220,BeyoncÃ¯Â¿,26000000,17308961985.0,Music,BeyoncÃ¯Â¿,240,United States,US,Music,163.0,66.0,66.0,55454000.0,13900.0,221800.0,166400.0,2700000.0,,2005.0,Nov,7.0,72120675.0,117850.0,18.0,665.73,0.32,,macro_low,665.73,13.3,0.32,,,55454000.0,2.13,53.0,Music,,66.1,,False,False,False,False,False,0
221,MarÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,26000000,18597534412.0,Music,mariliamendonca,1,,,Music,4057142.0,,4914.0,3.0,0.0,0.01,0.01,0.14,3.0,2008.0,Jun,14.0,18597534412.0,0.0,15.0,715.29,0.0,0.0,macro_low,715.29,0.1,0.0,0.0,3.6,3.0,0.0,61.8,Music,31.3,54.4,63.2,False,True,False,True,False,2
222,Indosiar,25900000,11372071889.0,Music,Indosiar,65286,Indonesia,ID,Entertainment,358.0,5.0,60.0,230183000.0,57500.0,920700.0,690500.0,11000000.0,600000.0,2013.0,Sep,23.0,174189.0,489100.0,10.0,439.08,2.024,2.3166,macro_low,439.08,6528.6,2.024,2.3166,81.3,230183000.0,2.12,88.5,Entertainment,80.1,78.4,54.5,False,False,False,False,True,1
223,VanossGaming,25800000,15541421838.0,Gaming,VanossGaming,1762,Canada,CA,Games,206.0,5.0,17.0,54947000.0,13700.0,219800.0,164800.0,2600000.0,,2011.0,Sep,15.0,8820330.0,116750.0,12.0,602.38,0.354,,macro_low,602.38,146.8,0.354,,,54947000.0,2.12,63.6,Gaming,,70.9,,False,False,False,False,False,0
224,David Guetta,25700000,17793809548.0,Music,David Guetta,749,United States,US,Music,153.0,67.0,67.0,164215000.0,41100.0,656900.0,492600.0,7900000.0,100000.0,2009.0,Dec,11.0,23756755.0,349000.0,14.0,692.37,0.923,0.3891,macro_low,692.37,53.5,0.923,0.3891,37.8,164215000.0,2.13,73.6,Music,53.3,75.2,63.8,False,False,False,False,False,0
225,LosPolinesios,25700000,7466926260.0,People & Blogs,LosPolinesios,982,Mexico,MX,People,746.0,8.0,7.0,30501000.0,7600.0,122000.0,91500.0,1500000.0,,2012.0,Dec,16.0,7603795.0,64800.0,11.0,290.54,0.408,,macro_low,290.54,89.3,0.408,,,30501000.0,2.12,55.8,Lifestyle / People,,56.7,,False,False,False,False,False,0
226,Nicki Minaj,25700000,10242981063.0,Music,Nicki Minaj,42,United States,US,Music,425.0,67.0,67.0,103631000.0,25900.0,414500.0,310900.0,5000000.0,100000.0,2013.0,Aug,28.0,243880502.0,220200.0,10.0,398.56,1.012,0.3891,macro_low,398.56,4.2,1.012,0.3891,39.6,103631000.0,2.12,55.0,Music,27.5,60.9,47.8,False,True,False,False,False,1
227,Fede Vigevani,25600000,7962725960.0,Howto & Style,Fede Vigevani,0,,,,4057944.0,,,,0.0,0.0,0.0,0.0,2.0,2019.0,Aug,1.0,,0.0,4.0,311.04,,0.0,macro_low,311.04,0.0,,0.0,,,,23.7,Other,,,,True,True,False,True,False,3
228,TaylorSwiftVEVO,25600000,25592378292.0,Music,TaylorSwiftVEVO,287,United States,US,Music,67.0,68.0,68.0,318593000.0,79600.0,1300000.0,955800.0,15300000.0,100000.0,2009.0,May,12.0,89172050.0,689800.0,14.0,999.7,1.245,0.3906,macro_low,999.7,20.5,1.245,0.3906,44.4,318593000.0,2.17,67.9,Music,51.7,76.9,69.5,False,False,False,False,False,0
229,ZHC,25500000,2726917087.0,Film & Animation,zhc,5,,,Entertainment,4042995.0,,6739.0,20.0,0.01,0.08,0.06,0.96,4.0,2006.0,Jan,24.0,545383417.0,0.0,17.0,106.94,0.0,0.0,macro_low,106.94,0.3,0.0,0.0,3.6,20.0,0.0,62.7,Entertainment,13.1,33.1,35.0,False,True,False,True,False,2
230,Post Malone,25500000,14401218086.0,Music,Post Malone,78,United States,US,Music,243.0,69.0,69.0,195499000.0,48900.0,782000.0,586500.0,9400000.0,100000.0,2011.0,Dec,15.0,184631001.0,415450.0,12.0,564.75,1.358,0.3922,macro_low,564.75,6.5,1.358,0.3922,46.5,195499000.0,2.13,59.4,Music,37.5,68.2,56.8,False,False,False,False,False,0
231,Rans Entertainment,25400000,6430853035.0,People & Blogs,Rans Entertainment,3716,Indonesia,ID,Entertainment,942.0,6.0,62.0,58487000.0,14600.0,233900.0,175500.0,2800000.0,100000.0,2015.0,Dec,27.0,1730585.0,124250.0,8.0,253.18,0.909,0.3937,macro_low,253.18,464.5,0.909,0.3937,37.6,58487000.0,2.12,78.9,Entertainment,52.7,60.7,33.2,False,False,False,False,False,0
232,LankyBox,25400000,34300482066.0,Comedy,LankyBox,8775,United States,US,Games,29.0,69.0,18.0,815341000.0,203800.0,3300000.0,2400000.0,39100000.0,600000.0,2016.0,Jul,30.0,3908887.0,1751900.0,7.0,1350.41,2.377,2.3622,macro_low,1350.41,1253.6,2.377,2.3622,83.2,815341000.0,2.15,80.5,Gaming,88.5,88.8,76.9,False,False,False,False,False,0
233,Coldplay,25300000,17331663193.0,Music,Coldplay,398,United Kingdom,GB,Music,160.0,8.0,70.0,198875000.0,49700.0,795500.0,596600.0,9500000.0,100000.0,2010.0,Jan,3.0,43546892.0,422600.0,13.0,685.05,1.147,0.3953,macro_low,685.05,30.6,1.147,0.3953,42.9,198875000.0,2.12,68.2,Music,49.3,73.3,63.3,False,False,False,False,False,0
234,Las Ratitas,25200000,9602246828.0,People & Blogs,LAS RATITAS,4,,,People,4051936.0,,7690.0,11.0,0.0,0.04,0.03,0.53,,2019.0,May,31.0,2400561707.0,0.0,4.0,381.04,0.0,,macro_low,381.04,1.0,0.0,,,11.0,0.0,26.7,Lifestyle / People,,46.8,,False,True,False,True,False,2
235,WB Kids,25200000,11081602368.0,People & Blogs,WB Kids,2025,United States,US,Film,375.0,70.0,16.0,140319000.0,35100.0,561300.0,421000.0,6700000.0,300000.0,2015.0,Mar,31.0,5472396.0,298200.0,8.0,439.75,1.266,1.1905,macro_low,439.75,253.1,1.266,1.1905,64.3,140319000.0,2.13,74.8,Film & Media,64.1,71.8,56.5,False,False,False,False,False,0
236,ABPLIVE,25200000,7968363381.0,People & Blogs,ABPLIVE,12,,,People,4026389.0,,7421.0,2.0,0.0,0.01,0.01,0.1,,2014.0,Jul,26.0,664030282.0,0.0,9.0,316.2,0.0,,macro_low,316.2,1.3,0.0,,,2.0,0.0,36.9,Lifestyle / People,,44.2,,False,True,False,True,False,2
237,Chris Brown,25200000,15520569496.0,Music,ChrisBrown,0,,,,3612215.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,615.9,,,macro_low,615.9,,,,,,,0.0,Other,,,,True,True,False,True,False,3
238,The Lallantop,25200000,10409352249.0,News & Politics,The Lallantop,51129,India,IN,News,408.0,52.0,6.0,273920000.0,68500.0,1100000.0,821800.0,13100000.0,300000.0,2015.0,Mar,23.0,203590.0,584250.0,8.0,413.07,2.631,1.1905,macro_low,413.07,6391.1,2.631,1.1905,76.8,273920000.0,2.13,84.5,News & Current Affairs,77.1,77.5,48.5,False,False,False,False,True,1
239,RihannaVEVO,25100000,19458807708.0,Music,RihannaVEVO,118,United States,US,Music,130.0,71.0,72.0,94246000.0,23600.0,377000.0,282700.0,4500000.0,,2009.0,May,12.0,164905150.0,200300.0,14.0,775.25,0.484,,macro_low,775.25,8.4,0.484,,,94246000.0,2.13,49.0,Music,,67.4,,False,False,False,False,False,0
240,WatchMojo.com,25100000,16357064198.0,Music,WatchMojo.com,24837,Canada,CA,Entertainment,180.0,6.0,64.0,49009000.0,12300.0,196000.0,147000.0,2400000.0,,2007.0,Jan,25.0,658576.0,104150.0,16.0,651.68,0.3,,macro_low,651.68,1552.3,0.3,,,49009000.0,2.13,81.8,Entertainment,,74.2,,False,False,False,False,False,0
241,TRANS7 OFFICIAL,25000000,14169516119.0,Entertainment,TRANS7 OFFICIAL,89179,Indonesia,ID,Entertainment,251.0,7.0,64.0,123189000.0,30800.0,492800.0,369600.0,5900000.0,100000.0,2014.0,Sep,4.0,158888.0,261800.0,9.0,566.78,0.869,0.4,macro_low,566.78,9908.8,0.869,0.4,36.5,123189000.0,2.13,87.1,Entertainment,70.0,77.3,46.1,False,False,False,False,True,1
242,Anuel AA,25000000,14827085149.0,Music,Anuel AA,147,Colombia,CO,Music,225.0,6.0,73.0,284144000.0,71000.0,1100000.0,852400.0,13600000.0,300000.0,2016.0,Sep,8.0,100864525.0,585500.0,7.0,593.08,1.916,1.2,macro_low,593.08,21.0,1.916,1.2,72.7,284144000.0,2.06,54.3,Music,47.9,70.3,65.1,False,False,False,False,False,0
243,Dan Rhodes,24800000,17387583720.0,Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,157.0,9.0,66.0,331889000.0,83000.0,1300000.0,995700.0,15900000.0,500000.0,2015.0,Oct,30.0,10576389.0,691500.0,8.0,701.11,1.909,2.0161,macro_low,701.11,205.5,1.909,2.0161,79.1,331889000.0,2.08,73.2,Entertainment,74.1,79.4,73.4,False,False,False,False,False,0
244,Yuya,24800000,2588501115.0,Howto & Style,Yuya,672,Mexico,MX,Howto,3505.0,9.0,6.0,336291.0,84.0,1300.0,1000.0,16100.0,,2009.0,Sep,20.0,3851936.0,692.0,14.0,104.38,0.013,,macro_low,104.38,48.0,0.013,,,336291.0,2.06,58.2,How-To & Style,,39.3,,False,False,False,False,False,0
245,America's Got Talent,24800000,3699352704.0,Entertainment,America's Got Talent,1894,United States,US,Entertainment,2122.0,72.0,65.0,134412000.0,33600.0,537600.0,403200.0,6500000.0,400000.0,2006.0,Jun,29.0,1953196.0,285600.0,17.0,149.17,3.633,1.6129,macro_low,149.17,111.4,3.633,1.6129,84.1,134412000.0,2.12,81.7,Entertainment,57.8,57.0,41.5,False,False,False,False,False,0
246,mujjuu___14,24800000,14655527943.0,People & Blogs,mujjuu___14,872,,,People,234.0,,8.0,400222000.0,100100.0,1600000.0,1200000.0,19200000.0,900000.0,2020.0,May,18.0,16806798.0,850050.0,3.0,590.95,2.731,3.629,macro_low,590.95,290.7,2.731,3.629,87.7,400222000.0,2.12,66.0,Lifestyle / People,70.7,76.0,71.0,False,False,False,False,False,0
247,EminemVEVO,24700000,20531704527.0,Music,EminemVEVO,104,United States,US,Music,115.0,73.0,74.0,139443000.0,34900.0,557800.0,418300.0,6700000.0,100000.0,2009.0,May,12.0,197420236.0,296350.0,14.0,831.24,0.679,0.4049,macro_low,831.24,7.4,0.679,0.4049,31.1,139443000.0,2.13,63.7,Music,41.0,69.7,66.9,False,False,False,False,False,0
248,Chloe Ting,24700000,2994726412.0,Howto & Style,Chloe Ting,412,Australia,AU,Howto,2897.0,2.0,7.0,23263000.0,5800.0,93100.0,69800.0,1100000.0,,2011.0,Aug,17.0,7268753.0,49450.0,12.0,121.24,0.777,,macro_low,121.24,34.3,0.777,,,23263000.0,2.13,51.9,How-To & Style,,41.9,,False,False,False,False,False,0
249,KatyPerryVEVO,24600000,23755792542.0,Music,KatyPerryVEVO,175,United States,US,Music,82.0,74.0,75.0,88940000.0,22200.0,355800.0,266800.0,4300000.0,100000.0,2009.0,Dec,13.0,135747386.0,189000.0,14.0,965.68,0.374,0.4065,macro_low,965.68,12.5,0.374,0.4065,20.7,88940000.0,2.13,65.7,Music,42.9,68.7,69.0,False,False,False,False,False,0
250,Mark Rober,24600000,3647987299.0,Science & Technology,Mark Rober,120,United States,US,Tech,2178.0,74.0,3.0,88625000.0,22200.0,354500.0,265900.0,4300000.0,200000.0,2011.0,Oct,20.0,30399894.0,188350.0,12.0,148.29,2.429,0.813,macro_low,148.29,10.0,2.429,0.813,72.0,88625000.0,2.13,60.6,Tech,32.7,46.5,41.4,False,False,False,False,False,0
251,1theK (Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯,24500000,23962070944.0,Music,1theK (Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯,18950,South Korea,KR,Entertainment,79.0,6.0,67.0,105567000.0,26400.0,422300.0,316700.0,5100000.0,,2011.0,Jan,31.0,1264489.0,224350.0,12.0,978.04,0.441,,macro_low,978.04,1579.2,0.441,,,105567000.0,2.13,75.9,Entertainment,,80.2,,False,False,False,False,False,0
252,Like Nastya AE,24400000,12385924995.0,Entertainment,Like Nastya AE,658,United States,US,Entertainment,312.0,75.0,68.0,169865000.0,42500.0,679500.0,509600.0,8200000.0,400000.0,2018.0,Dec,19.0,18823594.0,361000.0,5.0,507.62,1.371,1.6393,macro_low,507.62,131.6,1.371,1.6393,70.9,169865000.0,2.13,63.6,Entertainment,58.2,69.7,63.7,False,False,False,False,False,0
253,Amit Bhadana,24300000,2380248899.0,Entertainment,Amit Bhadana,17,,,People,4054185.0,,7710.0,5.0,0.0,0.02,0.02,0.24,,2009.0,Dec,31.0,140014641.0,0.0,14.0,97.95,0.0,,macro_low,97.95,1.2,0.0,,,5.0,0.0,46.8,Lifestyle / People,,31.7,,False,True,False,True,False,2
254,Pen Movies,24300000,6608773195.0,Film & Animation,Pen Movies,1667,India,IN,Film,903.0,53.0,17.0,94853000.0,23700.0,379400.0,284600.0,4600000.0,300000.0,2014.0,Mar,25.0,3964471.0,201550.0,9.0,271.97,1.435,1.2346,macro_low,271.97,185.2,1.435,1.2346,67.6,94853000.0,2.12,74.4,Film & Media,57.2,60.7,46.4,False,False,False,False,False,0
255,MrBeast en EspaÃ¯Â¿Â½Ã¯,24200000,2700914170.0,Entertainment,MrBeast en EspaÃ¯Â¿Â½Ã¯,67,Mexico,MX,Entertainment,3309.0,10.0,70.0,33590000.0,8400.0,134400.0,100800.0,1600000.0,100000.0,2021.0,Jul,9.0,40312152.0,71400.0,2.0,111.61,1.244,0.4132,macro_low,111.61,33.5,1.244,0.4132,44.8,33590000.0,2.13,46.8,Entertainment,20.7,39.2,28.1,False,False,False,False,False,0
256,shfa show India,24200000,15724160183.0,,shfa show India,469,United Arab Emirates,AE,People,203.0,3.0,9.0,151208000.0,37800.0,604800.0,453600.0,7300000.0,200000.0,2019.0,Apr,1.0,33526994.0,321300.0,4.0,649.76,0.962,0.8264,macro_low,649.76,117.2,0.962,0.8264,54.6,151208000.0,2.12,60.1,Lifestyle / People,53.4,70.6,65.3,False,False,False,False,False,0
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870.0,,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,40117.0,77.0,15.0,328503000.0,82100.0,1300000.0,985500.0,15800000.0,100000.0,2019.0,May,31.0,9160413.0,691050.0,4.0,13.68,99.614,0.4149,macro_low,13.68,9.0,99.614,0.4149,66.2,328503000.0,2.1,44.3,Education,22.1,45.7,19.1,False,True,False,False,False,1
258,Alejo Igoa,24100000,10999000479.0,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,376.0,4.0,71.0,401512000.0,100400.0,1600000.0,1200000.0,19300000.0,600000.0,2014.0,Jan,17.0,13714464.0,850200.0,9.0,456.39,3.65,2.4896,macro_low,456.39,89.1,3.65,2.4896,87.7,401512000.0,2.12,66.7,Entertainment,61.1,71.9,63.2,False,False,False,False,False,0
259,Daniel LaBelle,24100000,12916159065.0,Comedy,Daniel LaBelle,287,,,Comedy,290.0,,14.0,398765000.0,99700.0,1600000.0,1200000.0,19100000.0,700000.0,2009.0,Mar,11.0,45004039.0,849850.0,14.0,535.94,3.087,2.9046,macro_low,535.94,20.5,3.087,2.9046,87.6,398765000.0,2.13,67.9,Comedy,57.1,70.3,71.6,False,False,False,False,False,0
260,netd mÃ¯Â¿Â½Ã¯Â¿,24100000,56106087508.0,Music,netd mÃ¯Â¿Â½Ã¯Â¿,23491,Turkey,TR,Music,14.0,2.0,76.0,424815000.0,106200.0,1700000.0,1300000.0,20400000.0,200000.0,2014.0,Jan,23.0,2388408.0,903100.0,9.0,2328.05,0.757,0.8299,macro_low,2328.05,2610.1,0.757,0.8299,49.4,424815000.0,2.13,85.6,Music,80.8,87.8,70.5,False,False,False,False,False,0
261,DJ Snake,24100000,8425505919.0,Music,DJ Snake,252,United States,US,Music,602.0,77.0,76.0,63293000.0,15800.0,253200.0,189900.0,3000000.0,,2008.0,Sep,24.0,33434547.0,134500.0,15.0,349.61,0.751,,macro_low,349.61,16.8,0.751,,,63293000.0,2.13,54.2,Music,,56.3,,False,False,False,False,False,0
262,Diana and Roma ARA,24100000,11041261296.0,,Diana and Roma ARA,590,United States,US,Entertainment,379.0,76.0,70.0,66884000.0,16700.0,267500.0,200700.0,3200000.0,200000.0,2019.0,Feb,1.0,18714002.0,142100.0,4.0,458.14,0.606,0.8299,macro_low,458.14,147.5,0.606,0.8299,44.2,66884000.0,2.12,62.7,Entertainment,47.7,62.9,57.0,False,False,False,False,False,0
263,KSI,24100000,6002166932.0,Entertainment,KSI,1252,United Kingdom,GB,Music,1053.0,10.0,76.0,5439000.0,1400.0,21800.0,16300.0,261100.0,,2009.0,Jul,25.0,4794063.0,11600.0,14.0,249.05,0.091,,macro_low,249.05,89.4,0.091,,,5439000.0,2.13,61.8,Music,,49.4,,False,False,False,False,False,0
